YEAR,Actual Rainfall: JUN,Actual Rainfall: JUL,Actual Rainfall: AUG,Actual Rainfall: SEPT,Actual Rainfall: JUN-SEPT,Departure Percentage: JUN,Departure Percentage: JUL,Departure Percentage: AUG,Departure Percentage: SEP,Departure Percentage: JUN-SEPT
1901,252.3,304.1,364.0,235.9,1156.3,-18.2,-17.0,3.4,-8.8,-10.1
1902,276.4,388.4,306.4,346.1,1317.2,-10.1,6.2,-12.8,34.0,2.7
1903,318.1,214.4,374.0,254.1,1160.6,3.5,-41.3,6.4,-1.5,-9.5
1904,294.8,424.7,355.1,168.4,1243.0,-4.0,15.9,0.9,-34.7,-3.2
1905,205.0,429.9,445.6,302.6,1383.1,-33.2,17.4,26.5,17.3,7.8
1906,257.6,381.1,395.6,219.5,1253.7,-16.0,3.6,11.9,-15.3,-2.6
1907,341.5,353.3,297.1,272.0,1263.9,10.7,-4.0,-15.8,5.1,-1.9
1908,257.3,344.4,271.8,240.3,1113.8,-16.8,-5.0,-23.0,-7.2,-13.2
1909,436.7,293.5,420.5,231.1,1381.8,40.8,-20.4,17.4,-12.1,6.3
1910,357.3,413.8,344.6,249.5,1365.3,14.5,11.4,-3.8,-5.0,4.7
1911,380.0,321.9,377.2,308.6,1387.7,22.3,-13.3,5.8,17.9,6.7
1912,239.1,396.4,337.6,162.0,1135.2,-23.0,6.8,-5.3,-38.0,-12.6
1913,438.3,366.4,346.5,233.7,1385.0,40.8,-1.5,-3.2,-10.9,6.2
1914,209.3,355.6,423.6,207.9,1196.4,-34.6,-6.7,15.6,-22.6,-10.5
1915,280.0,378.5,368.3,236.2,1263.1,-12.3,-0.8,0.7,-12.1,-5.4
1916,375.7,424.3,369.7,303.3,1473.1,8.2,2.3,-5.2,7.7,2.7
1917,393.3,413.3,328.9,298.1,1433.6,13.2,-0.5,-15.7,5.7,-0.1
1918,461.9,429.3,508.6,279.9,1679.6,43.7,3.4,30.6,-0.6,19.3
1919,353.6,436.3,316.7,305.8,1412.5,2.1,5.0,-18.9,8.9,-1.5
1920,291.1,416.5,379.9,296.4,1383.8,-16.4,0.1,-2.7,5.5,-3.6
1921,368.1,431.1,430.2,309.7,1539.1,5.7,3.6,10.1,10.2,7.2
1922,480.0,435.7,407.1,278.1,1600.9,41.9,3.7,4.3,-0.9,12.0
1923,328.9,402.1,351.7,251.8,1334.5,-5.7,-4.3,-10.1,-10.3,-7.4
1924,331.7,483.0,361.0,329.7,1505.5,-5.5,14.7,-7.7,17.6,4.3
1925,261.3,384.8,372.2,306.3,1324.7,-25.5,-8.5,-4.9,9.3,-8.2
1926,265.4,533.2,373.2,244.5,1416.4,-24.5,26.7,-4.7,-12.8,-2.0
1927,320.6,417.0,338.7,364.5,1440.8,-8.6,-0.6,-13.8,30.0,-0.2
1928,400.3,433.4,387.1,243.3,1464.1,13.9,2.5,-1.2,-13.5,1.2
1929,412.4,401.7,357.5,223.2,1394.8,17.8,-3.3,-6.8,-20.2,-2.4
1930,353.2,375.7,372.0,282.6,1383.5,1.7,-9.6,-3.0,0.8,-3.1
1931,306.7,510.0,295.3,284.3,1396.4,-11.7,23.1,-23.0,1.8,-2.0
1932,357.3,338.0,355.8,294.3,1345.4,2.4,-18.8,-6.3,4.8,-5.6
1933,357.1,415.9,453.1,222.3,1448.4,2.4,-0.7,18.0,-20.8,1.1
1934,381.8,447.3,326.4,258.1,1413.6,9.8,7.8,-14.9,-7.8,-0.8
1935,371.1,315.9,498.4,317.3,1502.8,6.6,-23.9,30.3,13.1,5.4
1936,338.5,482.4,348.6,337.0,1506.5,-2.3,16.2,-9.1,20.3,5.7
1937,283.0,346.0,444.4,264.8,1338.1,-18.7,-16.6,15.8,-5.6,-6.2
1938,434.2,404.9,395.9,298.9,1533.8,26.5,-0.4,5.2,8.7,9.4
1939,365.3,451.4,341.6,302.8,1461.1,6.4,11.0,-9.2,10.4,4.3
1940,292.9,380.0,334.0,263.4,1270.3,-14.6,-6.5,-11.3,-3.9,-9.3
1941,384.5,387.6,409.9,276.5,1458.6,11.8,-4.6,8.8,0.9,4.1
1942,361.4,348.8,373.4,385.5,1469.1,4.5,-16.4,-3.1,38.6,3.0
1943,323.5,392.1,396.8,291.0,1403.4,-6.0,-5.2,4.8,5.7,-0.6
1944,339.4,354.3,358.7,293.2,1345.5,-1.5,-13.8,-4.8,7.5,-4.2
1945,290.1,370.1,355.0,281.9,1297.1,-15.7,-9.9,-5.9,2.5,-7.8
1946,330.1,442.7,322.7,293.5,1389.0,-4.3,8.0,-15.0,6.3,-1.5
1947,312.3,462.1,312.0,319.3,1405.7,-11.1,12.4,-17.8,14.5,-1.1
1948,320.9,503.7,375.4,274.1,1474.0,-6.8,22.1,-0.8,0.3,4.7
