YEAR,Actual Rainfall: JUN,Actual Rainfall: JUL,Actual Rainfall: AUG,Actual Rainfall: SEPT,Actual Rainfall: JUN-SEPT,Departure Percentage: JUN,Departure Percentage: JUL,Departure Percentage: AUG,Departure Percentage: SEP,Departure Percentage: JUN-SEPT
1901,22.7,185.2,264.1,70.6,542.7,-67.2,-21.5,9.1,-40.5,-18.5
1902,59.9,225.2,143.8,126.1,555.1,-13.0,-3.8,-40.1,7.2,-16.0
1903,26.2,211.7,275.2,167.9,680.9,-61.4,-8.5,16.3,43.3,4.3
1904,53.4,253.7,234.0,70.6,611.7,-21.6,10.0,-1.0,-39.6,-6.2
1905,23.1,162.9,128.3,135.3,449.6,-65.5,-29.3,-45.7,15.6,-30.9
1906,91.8,200.5,249.1,191.2,732.7,34.5,-12.6,6.5,63.9,13.0
1907,41.4,121.3,274.5,13.5,450.7,-39.3,-47.1,17.4,-88.4,-30.4
1908,41.1,306.5,366.9,72.8,787.3,-40.0,32.3,55.4,-38.0,20.4
1909,125.0,324.0,234.3,148.4,831.8,82.3,39.8,-0.8,26.5,27.2
1910,116.9,187.0,298.3,123.0,725.2,71.0,-18.9,27.1,5.3,11.5
1911,78.0,59.0,150.4,192.8,480.2,13.7,-74.5,-36.0,65.2,-26.3
1912,31.8,266.7,234.6,81.9,615.0,-53.6,15.5,-0.3,-30.0,-5.6
1913,120.2,165.7,144.2,38.7,468.8,75.2,-28.4,-38.8,-66.9,-28.1
1914,75.3,353.5,192.2,144.7,765.6,10.0,52.6,-18.5,23.7,17.3
1915,54.5,147.7,226.0,121.7,550.0,-20.4,-36.1,-4.1,4.1,-15.7
1916,132.3,242.2,324.9,134.8,834.2,93.4,5.1,38.4,15.5,28.3
1917,138.0,283.3,303.1,299.6,1024.0,101.6,22.8,29.1,156.7,57.4
1918,68.8,80.2,164.9,31.5,345.4,0.5,-65.2,-29.8,-73.0,-46.9
1919,42.9,289.3,267.0,92.0,691.3,-37.3,25.8,13.6,-21.2,6.3
1920,82.6,266.9,114.9,40.4,504.8,20.6,16.1,-51.0,-65.3,-22.2
1921,76.8,177.1,274.2,147.8,675.8,12.0,-23.0,17.0,26.8,4.1
1922,72.9,270.5,238.6,188.7,770.7,6.4,17.7,1.9,62.1,18.8
1923,23.0,229.6,289.6,98.6,640.8,-66.3,0.5,24.9,-15.2,-0.6
1924,19.6,272.8,229.9,227.2,749.5,-71.2,20.2,0.1,96.5,17.0
1925,142.5,307.8,177.2,57.2,684.6,107.6,34.7,-23.8,-50.7,6.0
1926,17.7,254.4,306.9,154.0,733.1,-74.2,11.2,31.9,32.7,13.5
1927,39.0,252.8,292.3,71.8,656.0,-43.2,10.5,25.6,-38.1,1.5
1928,48.9,200.9,163.3,56.0,469.1,-27.7,-10.5,-28.4,-51.1,-26.1
1929,69.9,229.1,245.9,30.5,575.4,2.1,0.9,7.1,-73.5,-10.1
1930,62.9,312.1,157.6,79.9,612.6,-6.7,39.3,-30.6,-29.8,-3.2
1931,17.9,211.8,280.2,146.5,656.3,-74.0,-7.2,20.9,27.3,2.0
1932,38.9,226.9,229.0,99.4,594.1,-43.1,0.4,0.0,-13.4,-6.9
1933,134.0,209.4,276.1,151.2,770.6,95.1,-8.2,19.1,31.1,19.7
1934,101.1,220.9,281.6,77.2,680.8,46.4,-3.9,21.0,-33.2,5.2
1935,30.0,249.6,194.8,107.2,581.6,-56.5,9.1,-16.3,-7.2,-10.0
1936,157.8,269.6,213.5,134.0,774.9,128.9,18.0,-7.9,16.1,20.2
1937,70.8,246.4,167.3,101.9,586.4,2.6,8.0,-27.8,-11.6,-9.0
1938,154.0,232.5,180.4,46.9,613.7,123.2,1.9,-22.2,-59.4,-4.8
1939,83.3,185.7,126.8,122.7,518.4,20.5,-18.8,-45.5,6.3,-19.7
1940,66.9,195.4,244.4,58.1,564.9,-2.9,-14.0,6.0,-49.4,-12.0
1941,78.3,126.9,205.0,96.3,506.6,14.2,-44.1,-11.1,-16.3,-21.0
1942,65.3,299.5,311.1,150.4,826.3,-4.8,31.8,34.7,31.0,28.8
1943,48.5,231.6,288.9,143.8,712.9,-29.1,1.9,24.9,25.3,11.1
1944,62.8,267.3,274.3,74.1,678.5,-8.4,17.7,18.9,-35.4,5.8
1945,61.1,238.8,192.1,198.2,690.2,-10.8,5.2,-16.8,73.0,7.7
1946,92.1,249.9,257.2,52.1,651.2,34.1,10.3,11.7,-54.6,1.7
1947,37.1,182.8,214.3,229.4,663.6,-46.0,-19.3,-6.6,101.3,3.9
1948,42.9,279.0,297.7,113.3,732.8,-38.2,16.9,24.3,-3.2,10.3
1949,38.8,262.5,172.6,119.7,593.5,-44.4,13.8,-26.2,2.6,-8.8
1950,53.5,265.0,256.2,210.7,785.4,-23.5,14.3,7.9,77.9,19.4
1951,48.8,115.5,196.1,72.8,433.2,-29.5,-48.9,-14.1,-37.3,-32.3
1952,117.0,226.1,267.6,31.9,642.5,68.6,-1.3,15.0,-72.9,-1.0
1953,92.9,309.5,268.7,106.6,777.8,33.9,35.6,16.1,-8.9,20.4
1954,35.0,207.7,178.2,189.9,610.9,-49.3,-9.6,-23.5,62.9,-5.8
1955,76.9,198.9,294.4,166.1,736.3,13.5,-10.5,31.3,45.9,17.2
1956,82.8,321.2,238.4,92.1,734.6,21.3,46.4,6.9,-19.3,17.6
1957,57.0,268.6,275.1,153.1,753.7,-16.4,27.6,29.1,34.7,24.5
