YEAR,Actual Rainfall: JUN,Actual Rainfall: JUL,Actual Rainfall: AUG,Actual Rainfall: SEPT,Actual Rainfall: JUN-SEPT,Departure Percentage: JUN,Departure Percentage: JUL,Departure Percentage: AUG,Departure Percentage: SEP,Departure Percentage: JUN-SEPT
1901,155.8,191.5,138.4,137.1,622.9,-1.7,-10.1,-18.5,-15.1,-11.4
1902,118.9,214.4,159.7,193.7,686.7,-25.3,0.2,-6.2,19.9,-2.6
1903,141.0,300.2,206.2,212.5,859.9,-12.0,39.6,20.7,31.3,21.5
1904,191.9,191.4,89.5,130.6,603.5,19.4,-11.1,-47.6,-19.3,-14.9
1905,153.5,120.6,187.6,99.0,560.6,-4.0,-43.1,10.4,-38.6,-20.3
1906,174.0,219.9,221.8,110.8,726.5,8.6,3.1,30.7,-31.3,3.1
1907,184.8,206.3,216.3,129.3,736.8,14.7,-4.0,26.5,-20.1,3.9
1908,125.0,240.1,155.1,247.6,767.7,-22.7,11.6,-9.1,53.3,8.3
1909,157.3,227.5,196.0,148.2,729.0,-2.1,6.3,15.0,-8.2,3.2
1910,180.0,211.1,209.4,172.8,773.4,12.2,-2.0,22.5,6.5,9.1
1911,189.6,191.6,103.5,104.2,588.9,18.1,-11.0,-39.5,-35.8,-17.0
1912,144.8,253.3,196.6,142.3,737.1,-9.4,16.8,15.2,-13.1,3.6
1913,133.9,228.8,98.8,130.9,592.5,-15.9,5.7,-42.3,-20.0,-16.6
1914,157.6,280.4,211.6,186.5,836.1,-1.3,29.3,24.2,13.9,17.7
1915,193.8,214.5,149.5,198.2,755.9,21.6,-1.1,-12.4,21.3,6.4
1916,199.6,248.9,183.7,190.3,822.6,25.4,15.1,8.1,17.1,16.2
1917,206.4,157.1,198.1,246.8,808.3,29.6,-27.4,16.6,51.8,14.2
1918,114.4,85.5,123.7,110.4,434.0,-28.1,-60.5,-27.2,-32.1,-38.7
1919,176.2,196.8,127.6,191.5,692.1,10.8,-8.9,-24.8,18.1,-2.1
1920,169.0,192.5,127.5,136.3,625.3,6.2,-10.9,-24.9,-15.9,-11.6
1921,141.7,282.9,184.5,133.2,742.3,-10.9,30.9,8.7,-17.9,5.0
1922,146.8,224.8,129.8,109.9,611.3,-6.5,4.2,-23.5,-32.3,-13.3
1923,119.6,295.5,171.6,183.1,769.8,-24.7,36.6,1.4,12.6,8.9
1924,161.6,313.9,176.9,212.7,865.2,1.8,45.1,4.0,30.5,22.2
1925,167.1,212.6,191.0,100.2,670.9,5.6,-1.6,11.7,-38.4,-5.2
1926,116.3,231.3,183.5,163.2,694.3,-27.1,6.0,6.7,0.4,-2.5
1927,180.9,238.9,140.4,178.6,738.8,13.4,9.5,-18.4,10.1,3.8
1928,153.8,190.9,173.2,132.5,650.4,-3.9,-12.5,0.6,-18.3,-8.7
1929,207.1,161.7,119.6,179.2,667.7,29.9,-25.6,-30.3,10.8,-6.0
1930,185.8,125.1,109.8,172.1,592.8,15.3,-43.8,-37.3,6.7,-17.7
1931,157.4,220.5,229.8,170.3,778.0,-2.0,0.1,32.5,6.1,8.8
1932,107.4,230.3,191.4,148.4,677.6,-33.1,4.6,10.5,-7.6,-5.2
1933,209.4,234.9,211.7,198.1,854.1,24.5,2.0,17.6,21.6,15.2
1934,187.0,208.0,172.9,83.5,651.3,11.3,-9.8,-4.1,-48.9,-12.2
1935,137.0,218.9,190.8,147.3,693.9,-18.7,-5.2,6.0,-9.7,-6.5
1936,199.0,212.5,152.2,155.0,718.7,18.4,-7.5,-15.5,-4.9,-3.0
1937,122.7,270.1,117.6,126.9,637.2,-27.1,17.5,-34.6,-22.2,-14.0
1938,200.1,215.1,215.6,208.7,839.6,19.2,-6.3,20.3,28.2,13.5
1939,139.3,186.0,180.7,121.7,627.6,-17.0,-18.8,0.9,-25.1,-15.0
1940,178.2,228.7,228.1,107.1,742.1,6.4,-0.2,27.4,-34.1,0.5
1941,176.7,148.3,156.1,171.4,652.5,5.6,-35.2,-12.7,5.6,-11.5
1942,192.6,234.5,190.7,101.1,718.9,18.6,3.5,9.0,-36.3,-0.5
1943,172.0,223.9,104.1,187.0,687.1,4.8,-2.0,-41.0,17.8,-5.6
1944,145.0,234.9,119.4,149.0,648.3,-11.0,3.5,-32.0,-5.9,-10.4
1945,128.3,265.3,169.8,114.3,677.7,-20.5,16.9,-3.6,-27.5,-6.2
1946,200.5,219.0,220.5,144.9,784.9,19.0,-4.3,23.2,-10.6,6.3
1947,133.1,252.9,262.2,202.8,851.0,-20.4,11.0,46.3,24.8,15.5
1948,163.8,219.1,206.3,147.1,736.4,-2.1,-4.3,15.0,-9.7,-0.3
1949,156.7,259.2,188.8,201.8,806.6,-7.4,13.2,5.7,24.3,9.1
1950,133.7,265.6,158.9,211.2,769.5,-20.2,16.0,-11.4,30.0,4.2
1951,149.4,256.1,153.0,140.9,699.4,-11.2,10.9,-15.6,-12.6,-5.7
1952,131.1,170.0,150.0,77.3,528.4,-21.9,-26.3,-16.3,-51.9,-28.5
1953,170.1,311.8,183.6,164.4,829.8,2.9,35.7,3.0,2.7,13.1
1954,158.3,282.3,204.8,143.3,788.7,-3.8,25.2,15.8,-10.7,8.4
1955,184.8,158.0,208.7,204.0,755.5,12.6,-29.8,18.1,27.2,4.0
1956,210.8,277.1,158.8,164.5,811.2,30.7,23.2,-9.9,3.1,12.4
1957,205.8,225.5,209.1,91.6,732.0,24.7,-0.5,18.6,-42.7,0.6
1958,151.0,285.0,258.3,119.4,813.7,-8.6,24.7,46.1,-25.0,11.5
1959,236.7,342.2,201.3,171.5,951.7,44.3,50.9,13.9,7.5,30.9
1960,153.8,237.2,112.5,228.4,732.0,-7.8,4.1,-36.4,42.8,0.1
